epoch,global_step,train_loss,validation_loss,mean_gradient_norm,elapsed_s
1,36,0.1460170845190684,0.07528242033636459,0.17018823263545832,6.905525000000125
2,72,0.04256474076666766,0.030639750921280583,0.11858913385205799,5.553884599999947
3,108,0.026743033331715398,0.024898680160257303,0.12922722039123377,4.81905740000002
4,144,0.023069479088816378,0.02270050196795263,0.10602223666177855,7.208304599999792
5,180,0.021816548141133454,0.022283000481602186,0.11708349206795295,9.211321099999623
6,216,0.021480418741703033,0.02151607746066891,0.10738765903645092,6.528426799999579
7,252,0.020706843222594924,0.020918582616565384,0.10782921262499359,5.803329399999711
8,288,0.020273823704984453,0.02108025505233591,0.0775754254621764,5.657098900000165
9,324,0.019994617918402784,0.02075080896301247,0.12884387891325685,5.77938450000056
10,360,0.019853314695258934,0.02014632088558696,0.10342457983642817,9.48633510000036
11,396,0.01948627870943811,0.02045349263559992,0.10039734726564752,5.407235100000435
12,432,0.01942835163532032,0.01959072962821087,0.1139284884557128,4.602520800000093
