epoch,global_step,train_loss,validation_loss,mean_gradient_norm,elapsed_s
1,48,0.18277054155866304,0.1652993547164391,0.09455000756618877,46.11428410000008
2,96,0.08669838223916788,0.0670344210255926,0.10397441095362107,28.261864400000377
3,144,0.05317628368114432,0.05140515102125774,0.08420740906149149,33.76105869999992
4,192,0.04614301250937084,0.04675395239457906,0.08383600297383964,40.42267340000035
5,240,0.042327203904278576,0.043249503084432296,0.14064376382157207,41.90692729999955
6,288,0.03694549936335534,0.03659758349166852,0.14512841224980852,37.83320959999946
7,336,0.03311404430617889,0.033721503086179216,0.1595840243001779,39.985479699999814
8,384,0.030157559163247544,0.03497108810137366,0.14269606055070957,41.27005159999953
9,432,0.02812814766851564,0.029198098572615152,0.1537654586136341,48.64520059999995
10,480,0.02533466888902088,0.026148676719063912,0.14721308664108315,47.54133700000057
11,528,0.022581943427212536,0.025930200496288105,0.13823434609609345,40.96254730000055
12,576,0.02215817985900988,0.02514075001823568,0.18361305072903633,64.3586907000008
13,624,0.02036307459153856,0.02165627856608306,0.157745148986578,57.379630700000234
14,672,0.01870736471998195,0.02502551422080147,0.15023130550980568,49.63363710000067
